player_id,link,name,position,career_begin,career_end,active,scraped
13637,/players/K/KiddCa20.htm,Carl Kidd,DB,1995,1996,False,True
13638,/players/K/KiddJo20.htm,John Kidd,P,1984,1998,False,True
13639,/players/K/KiddKe20.htm,Keith Kidd,WR,1987,1987,False,True
13640,/players/K/KiddLe00.htm,Lewis Kidd,OL,2022,2022,True,True
13641,/players/K/KidsDa00.htm,Darvin Kidsy,WR,2018,2019,False,True
13642,/players/K/KiefKo00.htm,Ko Kieft,TE,2022,2024,True,True
13643,/players/K/KielBl00.htm,Blair Kiel,QB,1984,1991,False,True
13644,/players/K/KielTe20.htm,Terrence Kiel,DB,2003,2006,False,True
13645,/players/K/KielMa20.htm,Max Kielbasa,HB,1946,1946,False,True
13646,/players/K/KielHo20.htm,Howard Kieley,T,1923,1926,False,True
13647,/players/K/KiesWa20.htm,Walt Kiesling,G-T,1926,1938,False,True
13648,/players/K/KiewJe20.htm,Jeff Kiewel,G,1985,1987,False,True
13649,/players/K/KighDa20.htm,Danny Kight,K,1999,2001,False,True
13650,/players/K/KighKe00.htm,Kelvin Kight,WR,2004,2006,False,True
13651,/players/K/KiicGe20.htm,George Kiick,FB,1940,1945,False,True
13652,/players/K/KiicJi00.htm,Jim Kiick,RB,1968,1977,False,True
13653,/players/K/KikaHa00.htm,Hau'oli Kikaha,OLB,2015,2017,False,True
13654,/players/K/KilbWa20.htm,Warren Kilbourne,T,1939,1939,False,True
13655,/players/K/KilcBo20.htm,Bob Kilcullen,DT-DE-T,1957,1966,False,True
13656,/players/K/KileRo20.htm,Roger Kiley,E,1923,1923,False,True
13657,/players/K/KilgDa01.htm,Darius Kilgo,DT,2015,2018,False,True
13658,/players/K/KilgDa00.htm,Daniel Kilgore,G,2011,2020,False,True
13659,/players/K/KilgJo20.htm,Jon Kilgore,P,1965,1969,False,True
13660,/players/K/KillMi00.htm,Miles Killebrew,SS,2016,2024,True,True
13661,/players/K/KillTe20.htm,Terry Killens,LB,1996,2002,False,True
13662,/players/K/KillCh00.htm,Charlie Killett,HB,1963,1963,False,True
